time,msg,codes,model,count,num_rows,rows
time,msg,codes,model,count,num_rows,rows
2020-07-12 03:51:09,,{48}0e10fb7f82e1;{0},BRAVO,1,2,;
2020-07-12 03:51:21,,{48}0e10fb7f82e1;{0},BRAVO,1,2,;
2020-07-12 03:51:33,,{48}0e10fb827fe1;{0},BRAVO,1,2,;
2020-07-12 03:51:46,,{48}0e10fb827fe1;{0},BRAVO,1,2,;
2020-07-12 03:51:58,,{48}0e10fb8282de;{0},BRAVO,1,2,;
2020-07-12 03:52:10,,{48}0e10fb8282de;{0},BRAVO,1,2,;
2020-07-12 03:52:23,,{48}0e10fb7f82e1;{0},BRAVO,1,2,;
2020-07-12 03:52:35,,{48}0e10fb7f7fe4;{0},BRAVO,1,2,;
2020-07-12 03:52:47,,{48}0e10fb7f7fe4;{0},BRAVO,1,2,;
2020-07-12 03:53:00,,{48}0e10fb7e7ee6;{0},BRAVO,1,2,;
2020-07-12 03:53:12,,{48}0e10fb827fe1;{0},BRAVO,1,2,;
2020-07-12 03:53:25,,{48}0e10fb8282de;{0},BRAVO,1,2,;
2020-07-12 03:53:37,,{48}0e10fb827fe1;{0},BRAVO,1,2,;
2020-07-12 03:53:49,,{48}0e10fb827fe1;{0},BRAVO,1,2,;
2020-07-12 03:54:02,,{48}0e10fb8282de;{0},BRAVO,1,2,;
2020-07-12 03:54:14,,{48}0e10fb7f7fe4;{0},BRAVO,1,2,;
2020-07-12 03:54:26,,{48}0e10fb7e7de7;{0},BRAVO,1,2,;
2020-07-12 03:54:39,,{48}0e10fb7d7de8;{0},BRAVO,1,2,;
2020-07-12 03:54:51,,{48}0e10fb7d7ee7;{0},BRAVO,1,2,;
2020-07-12 03:55:03,,{48}0e10fb7e7ee6;{0},BRAVO,1,2,;
2020-07-12 03:55:16,,{48}0e10fb7e7ee6;{0},BRAVO,1,2,;
2020-07-12 03:55:28,,{48}0e10fb7f7fe4;{0},BRAVO,1,2,;
2020-07-12 03:55:40,,{48}0e10fb7f7ee5;{0},BRAVO,1,2,;
2020-07-12 03:55:53,,{48}0e10fb827fe1;{0},BRAVO,1,2,;
2020-07-12 03:56:05,,{48}0e10fb7f7fe4;{0},BRAVO,1,2,;
2020-07-12 03:56:18,,{48}0e10fb827fe1;{0},BRAVO,1,2,;
2020-07-12 03:56:30,,{48}0e10fb827fe1;{0},BRAVO,1,2,;
2020-07-12 03:56:42,,{48}0e10fb8282de;{0},BRAVO,1,2,;
2020-07-12 03:56:55,,{48}0e10fb8283dd;{0},BRAVO,1,2,;
2020-07-12 03:57:07,,{48}0e10fb8282de;{0},BRAVO,1,2,;
2020-07-12 03:57:19,,{48}0e10fb7f83e0;{0},BRAVO,1,2,;
2020-07-12 03:57:32,,{48}0e10fb8383dc;{0},BRAVO,1,2,;
2020-07-12 03:57:44,,{48}0e10fb8383dc;{0},BRAVO,1,2,;
